index	block_id	shape_family	x	y	z
58	rechiseled:amethyst_block_bordered_diagonal_tiles_slab_connecting	slab	-132	100	-177
59	rechiseled:amethyst_block_bordered_diagonal_tiles_stairs_connecting	stairs	-129	100	-177
60	rechiseled:amethyst_block_bricks_connecting	full	-126	100	-177
61	rechiseled:amethyst_block_bricks_slab_connecting	slab	-123	100	-177
62	rechiseled:amethyst_block_bricks_stairs_connecting	stairs	-120	100	-177
63	rechiseled:amethyst_block_cut_connecting	full	-117	100	-177
64	rechiseled:amethyst_block_cut_slab_connecting	slab	-114	100	-177
65	rechiseled:amethyst_block_cut_stairs_connecting	stairs	-111	100	-177
66	rechiseled:amethyst_block_edged_connecting	full	-108	100	-177
67	rechiseled:amethyst_block_edged_slab_connecting	slab	-105	100	-177
68	rechiseled:amethyst_block_edged_stairs_connecting	stairs	-102	100	-177
69	rechiseled:amethyst_block_pillar_connecting	axis	-99	100	-177
70	rechiseled:amethyst_block_pillar_slab_connecting	slab	-96	100	-177
71	rechiseled:amethyst_block_pillar_stairs_connecting	stairs	-93	100	-177
72	rechiseled:amethyst_block_polished_connecting	full	-90	100	-177
73	rechiseled:amethyst_block_polished_slab_connecting	slab	-87	100	-177
74	rechiseled:amethyst_block_polished_stairs_connecting	stairs	-84	100	-177
75	rechiseled:amethyst_block_shiny_connecting	full	-81	100	-177
76	rechiseled:amethyst_block_shiny_slab_connecting	slab	-78	100	-177
77	rechiseled:amethyst_block_shiny_stairs_connecting	stairs	-75	100	-177
78	rechiseled:amethyst_block_tiles_connecting	full	-72	100	-177
79	rechiseled:amethyst_block_tiles_slab_connecting	slab	-69	100	-177
80	rechiseled:amethyst_block_tiles_stairs_connecting	stairs	-66	100	-177
81	rechiseled:andesite_brick_pattern_connecting	full	-63	100	-177
82	rechiseled:andesite_brick_pattern_slab_connecting	slab	-60	100	-177
83	rechiseled:andesite_brick_pattern_stairs_connecting	stairs	-57	100	-177
84	rechiseled:andesite_brick_paving_connecting	full	-180	100	-174
85	rechiseled:andesite_brick_paving_slab_connecting	slab	-177	100	-174
86	rechiseled:andesite_brick_paving_stairs_connecting	stairs	-174	100	-174
87	rechiseled:andesite_bricks_connecting	full	-171	100	-174
88	rechiseled:andesite_bricks_slab_connecting	slab	-168	100	-174
89	rechiseled:andesite_bricks_stairs_connecting	stairs	-165	100	-174
90	rechiseled:andesite_diagonal_bricks_connecting	full	-162	100	-174
91	rechiseled:andesite_diagonal_bricks_slab_connecting	slab	-159	100	-174
92	rechiseled:andesite_diagonal_bricks_stairs_connecting	stairs	-156	100	-174
93	rechiseled:andesite_dotted_connecting	full	-153	100	-174
94	rechiseled:andesite_dotted_slab_connecting	slab	-150	100	-174
95	rechiseled:andesite_dotted_stairs_connecting	stairs	-147	100	-174
96	rechiseled:andesite_paving_connecting	full	-144	100	-174
97	rechiseled:andesite_paving_slab_connecting	slab	-141	100	-174
98	rechiseled:andesite_paving_stairs_connecting	stairs	-138	100	-174
99	rechiseled:andesite_polished_connecting	full	-135	100	-174
100	rechiseled:andesite_polished_slab_connecting	slab	-132	100	-174
101	rechiseled:andesite_polished_stairs_connecting	stairs	-129	100	-174
102	rechiseled:andesite_rotated_bricks_connecting	full	-126	100	-174
103	rechiseled:andesite_rotated_bricks_slab_connecting	slab	-123	100	-174
104	rechiseled:andesite_rotated_bricks_stairs_connecting	stairs	-120	100	-174
105	rechiseled:andesite_squares_connecting	full	-117	100	-174
106	rechiseled:andesite_squares_slab_connecting	slab	-114	100	-174
107	rechiseled:andesite_squares_stairs_connecting	stairs	-111	100	-174
108	rechiseled:andesite_tiles_connecting	full	-108	100	-174
109	rechiseled:andesite_tiles_slab_connecting	slab	-105	100	-174
110	rechiseled:andesite_tiles_stairs_connecting	stairs	-102	100	-174
111	rechiseled:andesite_wavy_connecting	full	-99	100	-174
112	rechiseled:andesite_wavy_slab_connecting	slab	-96	100	-174
113	rechiseled:andesite_wavy_stairs_connecting	stairs	-93	100	-174
114	rechiseled:bamboo_planks_beams_connecting	full	-90	100	-174
115	rechiseled:bamboo_planks_beams_slab_connecting	slab	-87	100	-174
116	rechiseled:bamboo_planks_beams_stairs_connecting	stairs	-84	100	-174
117	rechiseled:bamboo_planks_brick_pattern_connecting	full	-81	100	-174
118	rechiseled:bamboo_planks_brick_pattern_slab_connecting	slab	-78	100	-174
119	rechiseled:bamboo_planks_brick_pattern_stairs_connecting	stairs	-75	100	-174
120	rechiseled:bamboo_planks_brick_paving_connecting	full	-72	100	-174
121	rechiseled:bamboo_planks_brick_paving_slab_connecting	slab	-69	100	-174
122	rechiseled:bamboo_planks_brick_paving_stairs_connecting	stairs	-66	100	-174
123	rechiseled:bamboo_planks_bricks_connecting	full	-63	100	-174
124	rechiseled:bamboo_planks_bricks_slab_connecting	slab	-60	100	-174
125	rechiseled:bamboo_planks_bricks_stairs_connecting	stairs	-57	100	-174
126	rechiseled:bamboo_planks_crate_connecting	full	-180	100	-171
127	rechiseled:bamboo_planks_crate_slab_connecting	slab	-177	100	-171
128	rechiseled:bamboo_planks_crate_stairs_connecting	stairs	-174	100	-171
129	rechiseled:bamboo_planks_diagonal_stripes_connecting	full	-171	100	-171
130	rechiseled:bamboo_planks_diagonal_stripes_slab_connecting	slab	-168	100	-171
131	rechiseled:bamboo_planks_diagonal_stripes_stairs_connecting	stairs	-165	100	-171
132	rechiseled:bamboo_planks_diagonal_tiles_connecting	full	-162	100	-171
133	rechiseled:bamboo_planks_diagonal_tiles_slab_connecting	slab	-159	100	-171
134	rechiseled:bamboo_planks_diagonal_tiles_stairs_connecting	stairs	-156	100	-171
135	rechiseled:bamboo_planks_dotted_connecting	full	-153	100	-171
136	rechiseled:bamboo_planks_dotted_slab_connecting	slab	-150	100	-171
137	rechiseled:bamboo_planks_dotted_stairs_connecting	stairs	-147	100	-171
138	rechiseled:bamboo_planks_flooring_connecting	full	-144	100	-171
139	rechiseled:bamboo_planks_flooring_slab_connecting	slab	-141	100	-171
140	rechiseled:bamboo_planks_flooring_stairs_connecting	stairs	-138	100	-171
141	rechiseled:bamboo_planks_large_tiles_connecting	full	-135	100	-171
142	rechiseled:bamboo_planks_large_tiles_slab_connecting	slab	-132	100	-171
143	rechiseled:bamboo_planks_large_tiles_stairs_connecting	stairs	-129	100	-171
144	rechiseled:bamboo_planks_pattern_connecting	full	-126	100	-171
145	rechiseled:bamboo_planks_pattern_slab_connecting	slab	-123	100	-171
146	rechiseled:bamboo_planks_pattern_stairs_connecting	stairs	-120	100	-171
147	rechiseled:bamboo_planks_rotated_bricks_connecting	full	-117	100	-171
148	rechiseled:bamboo_planks_rotated_bricks_slab_connecting	slab	-114	100	-171
149	rechiseled:bamboo_planks_rotated_bricks_stairs_connecting	stairs	-111	100	-171
150	rechiseled:bamboo_planks_small_bricks_connecting	full	-108	100	-171
151	rechiseled:bamboo_planks_small_bricks_slab_connecting	slab	-105	100	-171
152	rechiseled:bamboo_planks_small_bricks_stairs_connecting	stairs	-102	100	-171
153	rechiseled:bamboo_planks_small_tiles_connecting	full	-99	100	-171
154	rechiseled:bamboo_planks_small_tiles_slab_connecting	slab	-96	100	-171
155	rechiseled:bamboo_planks_small_tiles_stairs_connecting	stairs	-93	100	-171
156	rechiseled:bamboo_planks_squares_connecting	full	-90	100	-171
157	rechiseled:bamboo_planks_squares_slab_connecting	slab	-87	100	-171
158	rechiseled:bamboo_planks_squares_stairs_connecting	stairs	-84	100	-171
159	rechiseled:bamboo_planks_tiles_connecting	full	-81	100	-171
160	rechiseled:bamboo_planks_tiles_slab_connecting	slab	-78	100	-171
161	rechiseled:bamboo_planks_tiles_stairs_connecting	stairs	-75	100	-171
162	rechiseled:bamboo_planks_wavy_connecting	full	-72	100	-171
163	rechiseled:bamboo_planks_wavy_slab_connecting	slab	-69	100	-171
164	rechiseled:bamboo_planks_wavy_stairs_connecting	stairs	-66	100	-171
165	rechiseled:bamboo_planks_woven_connecting	full	-63	100	-171
166	rechiseled:bamboo_planks_woven_slab_connecting	slab	-60	100	-171
167	rechiseled:bamboo_planks_woven_stairs_connecting	stairs	-57	100	-171
168	rechiseled:basalt_beams_connecting	full	-180	100	-168
169	rechiseled:basalt_beams_slab_connecting	slab	-177	100	-168
170	rechiseled:basalt_beams_stairs_connecting	stairs	-174	100	-168
171	rechiseled:basalt_bordered_connecting	full	-171	100	-168
172	rechiseled:basalt_bordered_polished_connecting	full	-168	100	-168
173	rechiseled:basalt_bordered_polished_slab_connecting	slab	-165	100	-168
174	rechiseled:basalt_bordered_polished_stairs_connecting	stairs	-162	100	-168
175	rechiseled:basalt_bordered_slab_connecting	slab	-159	100	-168
176	rechiseled:basalt_bordered_stairs_connecting	stairs	-156	100	-168
177	rechiseled:basalt_bricks_connecting	full	-153	100	-168
178	rechiseled:basalt_bricks_slab_connecting	slab	-150	100	-168
179	rechiseled:basalt_bricks_stairs_connecting	stairs	-147	100	-168
180	rechiseled:basalt_diagonal_tiles_connecting	full	-144	100	-168
181	rechiseled:basalt_diagonal_tiles_slab_connecting	slab	-141	100	-168
182	rechiseled:basalt_diagonal_tiles_stairs_connecting	stairs	-138	100	-168
183	rechiseled:basalt_pattern_connecting	full	-135	100	-168
184	rechiseled:basalt_pattern_slab_connecting	slab	-132	100	-168
185	rechiseled:basalt_pattern_stairs_connecting	stairs	-129	100	-168
186	rechiseled:basalt_patterned_connecting	full	-126	100	-168
187	rechiseled:basalt_patterned_slab_connecting	slab	-123	100	-168
188	rechiseled:basalt_patterned_stairs_connecting	stairs	-120	100	-168
189	rechiseled:basalt_tiles_connecting	full	-117	100	-168
190	rechiseled:basalt_tiles_slab_connecting	slab	-114	100	-168
191	rechiseled:basalt_tiles_stairs_connecting	stairs	-111	100	-168
192	rechiseled:birch_planks_beams_connecting	full	-108	100	-168
193	rechiseled:birch_planks_beams_slab_connecting	slab	-105	100	-168
194	rechiseled:birch_planks_beams_stairs_connecting	stairs	-102	100	-168
195	rechiseled:birch_planks_brick_pattern_connecting	full	-99	100	-168
196	rechiseled:birch_planks_brick_pattern_slab_connecting	slab	-96	100	-168
197	rechiseled:birch_planks_brick_pattern_stairs_connecting	stairs	-93	100	-168
198	rechiseled:birch_planks_brick_paving_connecting	full	-90	100	-168
199	rechiseled:birch_planks_brick_paving_slab_connecting	slab	-87	100	-168
200	rechiseled:birch_planks_brick_paving_stairs_connecting	stairs	-84	100	-168
201	rechiseled:birch_planks_bricks_connecting	full	-81	100	-168
202	rechiseled:birch_planks_bricks_slab_connecting	slab	-78	100	-168
203	rechiseled:birch_planks_bricks_stairs_connecting	stairs	-75	100	-168
204	rechiseled:birch_planks_crate_connecting	full	-72	100	-168
205	rechiseled:birch_planks_crate_slab_connecting	slab	-69	100	-168
206	rechiseled:birch_planks_crate_stairs_connecting	stairs	-66	100	-168
207	rechiseled:birch_planks_diagonal_stripes_connecting	full	-63	100	-168
208	rechiseled:birch_planks_diagonal_stripes_slab_connecting	slab	-60	100	-168
209	rechiseled:birch_planks_diagonal_stripes_stairs_connecting	stairs	-57	100	-168
210	rechiseled:birch_planks_diagonal_tiles_connecting	full	-180	100	-165
211	rechiseled:birch_planks_diagonal_tiles_slab_connecting	slab	-177	100	-165
212	rechiseled:birch_planks_diagonal_tiles_stairs_connecting	stairs	-174	100	-165
213	rechiseled:birch_planks_dotted_connecting	full	-171	100	-165
214	rechiseled:birch_planks_dotted_slab_connecting	slab	-168	100	-165
215	rechiseled:birch_planks_dotted_stairs_connecting	stairs	-165	100	-165
216	rechiseled:birch_planks_flooring_connecting	full	-162	100	-165
217	rechiseled:birch_planks_flooring_slab_connecting	slab	-159	100	-165
218	rechiseled:birch_planks_flooring_stairs_connecting	stairs	-156	100	-165
219	rechiseled:birch_planks_large_tiles_connecting	full	-153	100	-165
220	rechiseled:birch_planks_large_tiles_slab_connecting	slab	-150	100	-165
221	rechiseled:birch_planks_large_tiles_stairs_connecting	stairs	-147	100	-165
222	rechiseled:birch_planks_pattern_connecting	full	-144	100	-165
223	rechiseled:birch_planks_pattern_slab_connecting	slab	-141	100	-165
224	rechiseled:birch_planks_pattern_stairs_connecting	stairs	-138	100	-165
225	rechiseled:birch_planks_rotated_bricks_connecting	full	-135	100	-165
226	rechiseled:birch_planks_rotated_bricks_slab_connecting	slab	-132	100	-165
227	rechiseled:birch_planks_rotated_bricks_stairs_connecting	stairs	-129	100	-165
228	rechiseled:birch_planks_small_bricks_connecting	full	-126	100	-165
229	rechiseled:birch_planks_small_bricks_slab_connecting	slab	-123	100	-165
230	rechiseled:birch_planks_small_bricks_stairs_connecting	stairs	-120	100	-165
231	rechiseled:birch_planks_small_tiles_connecting	full	-117	100	-165
232	rechiseled:birch_planks_small_tiles_slab_connecting	slab	-114	100	-165
233	rechiseled:birch_planks_small_tiles_stairs_connecting	stairs	-111	100	-165
234	rechiseled:birch_planks_squares_connecting	full	-108	100	-165
235	rechiseled:birch_planks_squares_slab_connecting	slab	-105	100	-165
236	rechiseled:birch_planks_squares_stairs_connecting	stairs	-102	100	-165
237	rechiseled:birch_planks_tiles_connecting	full	-99	100	-165
238	rechiseled:birch_planks_tiles_slab_connecting	slab	-96	100	-165
239	rechiseled:birch_planks_tiles_stairs_connecting	stairs	-93	100	-165
240	rechiseled:birch_planks_wavy_connecting	full	-90	100	-165
241	rechiseled:birch_planks_wavy_slab_connecting	slab	-87	100	-165
242	rechiseled:birch_planks_wavy_stairs_connecting	stairs	-84	100	-165
243	rechiseled:birch_planks_woven_connecting	full	-81	100	-165
244	rechiseled:birch_planks_woven_slab_connecting	slab	-78	100	-165
245	rechiseled:birch_planks_woven_stairs_connecting	stairs	-75	100	-165
246	rechiseled:blackstone_brick_pattern_connecting	full	-72	100	-165
247	rechiseled:blackstone_brick_pattern_slab_connecting	slab	-69	100	-165
248	rechiseled:blackstone_brick_pattern_stairs_connecting	stairs	-66	100	-165
249	rechiseled:blackstone_brick_paving_connecting	full	-63	100	-165
250	rechiseled:blackstone_brick_paving_slab_connecting	slab	-60	100	-165
251	rechiseled:blackstone_brick_paving_stairs_connecting	stairs	-57	100	-165
252	rechiseled:blackstone_diagonal_bricks_connecting	full	-180	100	-162
253	rechiseled:blackstone_diagonal_bricks_slab_connecting	slab	-177	100	-162
254	rechiseled:blackstone_diagonal_bricks_stairs_connecting	stairs	-174	100	-162
255	rechiseled:blackstone_polished_connecting	full	-171	100	-162
256	rechiseled:blackstone_polished_slab_connecting	slab	-168	100	-162
257	rechiseled:blackstone_polished_stairs_connecting	stairs	-165	100	-162
258	rechiseled:blackstone_rotated_bricks_connecting	full	-162	100	-162
259	rechiseled:blackstone_rotated_bricks_slab_connecting	slab	-159	100	-162
260	rechiseled:blackstone_rotated_bricks_stairs_connecting	stairs	-156	100	-162
261	rechiseled:blackstone_tiles_connecting	full	-153	100	-162
262	rechiseled:blackstone_tiles_slab_connecting	slab	-150	100	-162
263	rechiseled:blackstone_tiles_stairs_connecting	stairs	-147	100	-162
264	rechiseled:blue_ice_bordered_connecting	full	-144	100	-162
265	rechiseled:blue_ice_bordered_slab_connecting	slab	-141	100	-162
266	rechiseled:blue_ice_bordered_stairs_connecting	stairs	-138	100	-162
267	rechiseled:blue_ice_bricks_connecting	full	-135	100	-162
268	rechiseled:blue_ice_bricks_slab_connecting	slab	-132	100	-162
269	rechiseled:blue_ice_bricks_stairs_connecting	stairs	-129	100	-162
270	rechiseled:blue_ice_chiseled_connecting	full	-126	100	-162
271	rechiseled:blue_ice_chiseled_slab_connecting	slab	-123	100	-162
272	rechiseled:blue_ice_chiseled_stairs_connecting	stairs	-120	100	-162
273	rechiseled:blue_ice_patterned_connecting	full	-117	100	-162
274	rechiseled:blue_ice_patterned_slab_connecting	slab	-114	100	-162
275	rechiseled:blue_ice_patterned_stairs_connecting	stairs	-111	100	-162
276	rechiseled:blue_ice_pillar_connecting	axis	-108	100	-162
277	rechiseled:blue_ice_pillar_slab_connecting	slab	-105	100	-162
278	rechiseled:blue_ice_pillar_stairs_connecting	stairs	-102	100	-162
279	rechiseled:blue_ice_slanted_tiles_connecting	full	-99	100	-162
280	rechiseled:blue_ice_slanted_tiles_slab_connecting	slab	-96	100	-162
281	rechiseled:blue_ice_slanted_tiles_stairs_connecting	stairs	-93	100	-162
282	rechiseled:blue_ice_tiles_connecting	full	-90	100	-162
283	rechiseled:blue_ice_tiles_slab_connecting	slab	-87	100	-162
284	rechiseled:blue_ice_tiles_stairs_connecting	stairs	-84	100	-162
285	rechiseled:bone_block_bordered_connecting	full	-81	100	-162
286	rechiseled:bone_block_bordered_slab_connecting	slab	-78	100	-162
287	rechiseled:bone_block_bordered_stairs_connecting	stairs	-75	100	-162
288	rechiseled:bone_block_chiseled_connecting	full	-72	100	-162
289	rechiseled:bone_block_chiseled_slab_connecting	slab	-69	100	-162
290	rechiseled:bone_block_chiseled_stairs_connecting	stairs	-66	100	-162
291	rechiseled:bone_block_connecting_connecting	axis	-63	100	-162
292	rechiseled:bone_block_connecting_slab_connecting	slab	-60	100	-162
293	rechiseled:bone_block_connecting_stairs_connecting	stairs	-57	100	-162
294	rechiseled:bone_block_decorated_bordered_connecting	full	-180	100	-159
295	rechiseled:bone_block_decorated_bordered_slab_connecting	slab	-177	100	-159
296	rechiseled:bone_block_decorated_bordered_stairs_connecting	stairs	-174	100	-159
297	rechiseled:bone_block_inverted_tiles_connecting	full	-171	100	-159
298	rechiseled:bone_block_inverted_tiles_slab_connecting	slab	-168	100	-159
299	rechiseled:bone_block_inverted_tiles_stairs_connecting	stairs	-165	100	-159
300	rechiseled:bone_block_patterned_connecting	full	-162	100	-159
301	rechiseled:bone_block_patterned_slab_connecting	slab	-159	100	-159
302	rechiseled:bone_block_patterned_stairs_connecting	stairs	-156	100	-159
303	rechiseled:bone_block_pillar_connecting	axis	-153	100	-159
304	rechiseled:bone_block_pillar_slab_connecting	slab	-150	100	-159
305	rechiseled:bone_block_pillar_stairs_connecting	stairs	-147	100	-159
306	rechiseled:cherry_planks_beams_connecting	full	-144	100	-159
307	rechiseled:cherry_planks_beams_slab_connecting	slab	-141	100	-159
308	rechiseled:cherry_planks_beams_stairs_connecting	stairs	-138	100	-159
309	rechiseled:cherry_planks_brick_pattern_connecting	full	-135	100	-159
310	rechiseled:cherry_planks_brick_pattern_slab_connecting	slab	-132	100	-159
311	rechiseled:cherry_planks_brick_pattern_stairs_connecting	stairs	-129	100	-159
312	rechiseled:cherry_planks_brick_paving_connecting	full	-126	100	-159
313	rechiseled:cherry_planks_brick_paving_slab_connecting	slab	-123	100	-159
314	rechiseled:cherry_planks_brick_paving_stairs_connecting	stairs	-120	100	-159
315	rechiseled:cherry_planks_bricks_connecting	full	-117	100	-159
316	rechiseled:cherry_planks_bricks_slab_connecting	slab	-114	100	-159
317	rechiseled:cherry_planks_bricks_stairs_connecting	stairs	-111	100	-159
318	rechiseled:cherry_planks_crate_connecting	full	-108	100	-159
319	rechiseled:cherry_planks_crate_slab_connecting	slab	-105	100	-159
320	rechiseled:cherry_planks_crate_stairs_connecting	stairs	-102	100	-159
321	rechiseled:cherry_planks_diagonal_stripes_connecting	full	-99	100	-159
322	rechiseled:cherry_planks_diagonal_stripes_slab_connecting	slab	-96	100	-159
323	rechiseled:cherry_planks_diagonal_stripes_stairs_connecting	stairs	-93	100	-159
324	rechiseled:cherry_planks_diagonal_tiles_connecting	full	-90	100	-159
325	rechiseled:cherry_planks_diagonal_tiles_slab_connecting	slab	-87	100	-159
326	rechiseled:cherry_planks_diagonal_tiles_stairs_connecting	stairs	-84	100	-159
327	rechiseled:cherry_planks_dotted_connecting	full	-81	100	-159
328	rechiseled:cherry_planks_dotted_slab_connecting	slab	-78	100	-159
329	rechiseled:cherry_planks_dotted_stairs_connecting	stairs	-75	100	-159
330	rechiseled:cherry_planks_flooring_connecting	full	-72	100	-159
331	rechiseled:cherry_planks_flooring_slab_connecting	slab	-69	100	-159
332	rechiseled:cherry_planks_flooring_stairs_connecting	stairs	-66	100	-159
333	rechiseled:cherry_planks_large_tiles_connecting	full	-63	100	-159
334	rechiseled:cherry_planks_large_tiles_slab_connecting	slab	-60	100	-159
335	rechiseled:cherry_planks_large_tiles_stairs_connecting	stairs	-57	100	-159
336	rechiseled:cherry_planks_pattern_connecting	full	-180	100	-156
337	rechiseled:cherry_planks_pattern_slab_connecting	slab	-177	100	-156
338	rechiseled:cherry_planks_pattern_stairs_connecting	stairs	-174	100	-156
339	rechiseled:cherry_planks_rotated_bricks_connecting	full	-171	100	-156
340	rechiseled:cherry_planks_rotated_bricks_slab_connecting	slab	-168	100	-156
341	rechiseled:cherry_planks_rotated_bricks_stairs_connecting	stairs	-165	100	-156
342	rechiseled:cherry_planks_small_bricks_connecting	full	-162	100	-156
343	rechiseled:cherry_planks_small_bricks_slab_connecting	slab	-159	100	-156
344	rechiseled:cherry_planks_small_bricks_stairs_connecting	stairs	-156	100	-156
345	rechiseled:cherry_planks_small_tiles_connecting	full	-153	100	-156
346	rechiseled:cherry_planks_small_tiles_slab_connecting	slab	-150	100	-156
347	rechiseled:cherry_planks_small_tiles_stairs_connecting	stairs	-147	100	-156
348	rechiseled:cherry_planks_squares_connecting	full	-144	100	-156
349	rechiseled:cherry_planks_squares_slab_connecting	slab	-141	100	-156
350	rechiseled:cherry_planks_squares_stairs_connecting	stairs	-138	100	-156
351	rechiseled:cherry_planks_tiles_connecting	full	-135	100	-156
352	rechiseled:cherry_planks_tiles_slab_connecting	slab	-132	100	-156
353	rechiseled:cherry_planks_tiles_stairs_connecting	stairs	-129	100	-156
354	rechiseled:cherry_planks_wavy_connecting	full	-126	100	-156
355	rechiseled:cherry_planks_wavy_slab_connecting	slab	-123	100	-156
356	rechiseled:cherry_planks_wavy_stairs_connecting	stairs	-120	100	-156
357	rechiseled:cherry_planks_woven_connecting	full	-117	100	-156
358	rechiseled:cherry_planks_woven_slab_connecting	slab	-114	100	-156
359	rechiseled:cherry_planks_woven_stairs_connecting	stairs	-111	100	-156
360	rechiseled:coal_block_carved_connecting	full	-108	100	-156
361	rechiseled:coal_block_carved_slab_connecting	slab	-105	100	-156
362	rechiseled:coal_block_carved_stairs_connecting	stairs	-102	100	-156
363	rechiseled:coal_block_chiseled_connecting	full	-99	100	-156
364	rechiseled:coal_block_chiseled_slab_connecting	slab	-96	100	-156
365	rechiseled:coal_block_chiseled_stairs_connecting	stairs	-93	100	-156
366	rechiseled:coal_block_circles_connecting	full	-90	100	-156
367	rechiseled:coal_block_circles_slab_connecting	slab	-87	100	-156
368	rechiseled:coal_block_circles_stairs_connecting	stairs	-84	100	-156
369	rechiseled:coal_block_compacted_connecting	full	-81	100	-156
370	rechiseled:coal_block_compacted_slab_connecting	slab	-78	100	-156
371	rechiseled:coal_block_compacted_stairs_connecting	stairs	-75	100	-156
372	rechiseled:coal_block_ovals_connecting	full	-72	100	-156
373	rechiseled:coal_block_ovals_slab_connecting	slab	-69	100	-156
374	rechiseled:coal_block_ovals_stairs_connecting	stairs	-66	100	-156
375	rechiseled:coal_block_pattern_connecting	full	-63	100	-156
376	rechiseled:coal_block_pattern_slab_connecting	slab	-60	100	-156
377	rechiseled:coal_block_pattern_stairs_connecting	stairs	-57	100	-156
378	rechiseled:coal_block_pillar_connecting	axis	-180	100	-153
379	rechiseled:coal_block_pillar_slab_connecting	slab	-177	100	-153
380	rechiseled:coal_block_pillar_stairs_connecting	stairs	-174	100	-153
